Farm id,Time,Year,Severity,Rel,Abs,State,SC1,SC2,SC3,SC4,SC5,SC6,SC7,SC8,shannon_diversity,Av_T2M,Av_T2MDEW,Av_T2MWET,Av_TS,Av_T2M_RANGE,Av_QV2M,Av_RH2M,Av_PRECTOTCORR,Av_CLRSKY_SFC_PAR_TOT,Av_ALLSKY_SFC_PAR_TOT,Av_PS,Av_WS10M,Av_WD10M,Av_ALLSKY_SFC_LW_DWN,Sd_T2M,Sd_T2MDEW,Sd_T2MWET,Sd_TS,Sd_T2M_RANGE,Sd_QV2M,Sd_RH2M,Sd_PRECTOTCORR,Sd_CLRSKY_SFC_PAR_TOT,Sd_ALLSKY_SFC_PAR_TOT,Sd_PS,Sd_WS10M,Sd_WD10M,Sd_ALLSKY_SFC_LW_DWN,Skew_T2M,Skew_T2MDEW,Skew_T2MWET,Skew_TS,Skew_T2M_RANGE,Skew_QV2M,Skew_RH2M,Skew_PRECTOTCORR,Skew_CLRSKY_SFC_PAR_TOT,Skew_ALLSKY_SFC_PAR_TOT,Skew_PS,Skew_WS10M,Skew_WD10M,Skew_ALLSKY_SFC_LW_DWN,Kur_T2M,Kur_T2MDEW,Kur_T2MWET,Kur_TS,Kur_T2M_RANGE,Kur_QV2M,Kur_RH2M,Kur_PRECTOTCORR,Kur_CLRSKY_SFC_PAR_TOT,Kur_ALLSKY_SFC_PAR_TOT,Kur_PS,Kur_WS10M,Kur_WD10M,Kur_ALLSKY_SFC_LW_DWN,Entr_T2M,Entr_T2MDEW,Entr_T2MWET,Entr_TS,Entr_T2M_RANGE,Entr_QV2M,Entr_RH2M,Entr_PRECTOTCORR,Entr_CLRSKY_SFC_PAR_TOT,Entr_ALLSKY_SFC_PAR_TOT,Entr_PS,Entr_WS10M,Entr_WD10M,Entr_ALLSKY_SFC_LW_DWN,Commercial/small scale
Farm 1,Mid,2020,7,0.7327,0.38741513,Alabama,0,0,0,0,0,1,0,0,0,20.316087,14.791522,17.553261,20.433261,12.64087,10.884565,73.428913,3.97913,143.908913,124.307391,100.863478,3.656739,195.452826,348.848478,2.8654109,4.3618064,3.5036445,2.9941751,2.9743069,2.9521568,9.7458623,11.7131284,11.0805861,32.6528114,0.4130279,1.0594067,76.987142,37.1803872,-0.180269236,-0.288650791,-0.338665631,-0.027798485,-0.564433682,0.011183232,0.201951074,5.32636605,-1.538952469,-1.482338194,-0.064345367,0.526852693,-0.245264157,0.005818312,2.243777,1.90774,2.010133,2.374928,2.902784,1.820046,1.95572,33.036909,5.323564,4.756942,1.856396,2.952465,2.244615,1.842655,3.818754,3.783494,3.808428,3.818034,3.799426,3.791866,3.820054,2.176756,3.825611,3.786686,3.828633,3.788187,3.743965,3.823067,Small
Farm 1,End,2020,7,0.85887,0.46056904,Alabama,0,0,0,0,0,1,0,0,0,23.78932,18.398544,21.093592,24.09301,11.154563,13.661262,74.572718,4.262913,147.620097,122.527476,100.858641,3.24534,192.123883,382.353786,3.8141443,4.5974167,4.08391,4.0287038,3.0063892,3.4783613,8.736574,8.800933,9.633426,29.3524967,0.3276118,1.1154827,75.3361503,40.1143307,-0.66994312,-0.95229342,-0.91986638,-0.60565775,0.03765196,-0.54898757,-0.06617727,5.66863116,-1.89904928,-1.07222264,-0.03119626,0.64941852,-0.25975388,-0.95632349,2.430109,3.00022,2.858931,2.326571,2.163894,2.381034,1.938656,44.948313,7.349979,3.857025,2.426191,3.266503,2.092585,2.638935,4.621392,4.59997,4.614644,4.620243,4.597899,4.600086,4.627885,3.555438,4.632521,4.601888,4.634724,4.577452,4.550357,4.629068,Small
Farm 1,Mid,2021,1,0.76302,0.42919875,Alabama,0,0,0,0,0,1,0,0,0,20.377391,15.970217,18.17413,20.316522,11.252174,11.582174,77.875652,3.241304,145.304783,120.753043,101.070435,3.248696,182.527826,355.631522,3.0409337,3.8681994,3.3382201,3.1129302,2.9931365,2.7257406,8.7311818,8.2258507,7.5579223,31.9394556,0.3834229,1.0251756,76.5034401,32.3587949,-0.41182575,-0.54755887,-0.59063424,-0.25934231,-0.39641899,0.0753506,0.27078666,4.14965949,-0.39077752,-0.97141348,-0.06236852,1.21808754,-0.00475662,-0.38842443,2.538477,3.360313,2.992375,2.57234,2.873827,2.668913,2.103431,22.61083,1.989525,2.751034,2.320276,5.39208,1.977074,2.261752,3.817412,3.797251,3.811191,3.816881,3.791328,3.801007,3.822528,2.213049,3.827308,3.789913,3.828634,3.783215,3.73706,3.824532,Small
Farm 1,End,2021,6,0.20224,0.0485376,Alabama,0.034869,0,0,0,0,0.919092,0.046039,0,0.713538017,22.108507,17.135075,19.62194,22.223731,11.172985,12.501493,76.016418,3.247164,147.545522,121.879552,101.010149,3.118507,189.175224,368.433731,3.6861988,3.9978518,3.6753376,3.9195276,3.0222162,2.9934369,9.3399007,7.3690505,7.3160635,29.6242885,0.3707343,0.9606425,71.8964591,34.9538752,-0.40723915,-0.58678498,-0.61742831,-0.27792726,-0.30497406,-0.01870374,0.16222694,4.14782103,-0.74596025,-0.91517772,0.07001011,1.22108631,-0.08097268,-0.56513931,2.388103,3.275798,2.935847,2.23918,2.75926,2.425876,2.333392,24.332599,2.626159,2.87346,2.344602,5.667401,2.085935,2.367394,4.190519,4.17544,4.186366,4.188923,4.166166,4.175685,4.197263,2.790537,4.203465,4.172253,4.204686,4.161005,4.128572,4.200164,Small
Farm 1,Mid,2022,0,0.0008,0.0001834,Alabama,0,0,0,0,0,0,0,0,0,22.827609,16.871087,19.850435,23.275652,12.376957,12.259783,72.876739,3.417391,144.466304,117.283043,100.972391,3.228478,163.043261,369.258478,2.9162954,3.751394,3.031944,3.2149751,3.1074962,2.6936242,10.9570826,6.528902,6.7891107,33.2030266,0.3709638,0.8030856,66.0066496,30.542287,-0.5716154,-0.77345,-0.9396353,-0.3800639,-0.2897802,-0.3705755,-0.1580289,2.2692418,-0.8534749,-1.0856809,0.362203,0.4085467,-0.2771885,-1.0278241,3.73026,2.917341,3.685673,3.534324,2.743272,2.418029,2.470542,7.223071,4.41934,3.437548,3.335233,3.396879,2.306354,3.468263,3.820372,3.802314,3.816481,3.819029,3.796003,3.803865,3.817389,2.580668,3.827545,3.782366,3.828635,3.798469,3.73773,3.825187,Small
Farm 1,End,2022,3,0.20073,0.0702555,Alabama,0,0,0,1,0,0,0,0,0,25.256962,18.610253,21.93443,25.862911,12.19519,13.683418,70.708228,3.109241,147.93038,124.810253,100.883797,2.84038,167.592911,384.671646,3.8489057,3.6847798,3.4762623,4.1554278,2.7909197,2.8399408,10.2942484,5.3280385,6.9096785,29.2520596,0.3619438,0.8518659,70.8291771,30.8554916,-0.33257093,-1.10266358,-0.90121686,-0.32024975,-0.25887624,-0.63225243,-0.08800859,2.60409911,-1.05455633,-1.43585933,0.30866592,0.58007424,0.06199683,-1.19845251,2.84804,3.853406,3.557172,2.734712,2.988352,2.899384,2.73757,10.000907,4.575841,4.733172,3.337989,3.101602,2.354942,4.286287,4.357646,4.348006,4.356221,4.356314,4.342294,4.346703,4.358836,3.352878,4.368351,4.33722,4.369442,4.325948,4.274281,4.366154,Small
Farm 2,Mid,2020,5,0.78641,0.3774768,Alabama,0,0.010004,0.11187,0.619403,0.258722,0,0,0,1.17652422,20.316087,14.791522,17.553261,20.433261,12.64087,10.884565,73.428913,3.97913,143.908913,124.307391,100.863478,3.656739,195.452826,348.848478,2.8654109,4.3618064,3.5036445,2.9941751,2.9743069,2.9521568,9.7458623,11.7131284,11.0805861,32.6528114,0.4130279,1.0594067,76.987142,37.1803872,-0.180269236,-0.288650791,-0.338665631,-0.027798485,-0.564433682,0.011183232,0.201951074,5.32636605,-1.538952469,-1.482338194,-0.064345367,0.526852693,-0.245264157,0.005818312,2.243777,1.90774,2.010133,2.374928,2.902784,1.820046,1.95572,33.036909,5.323564,4.756942,1.856396,2.952465,2.244615,1.842655,3.818754,3.783494,3.808428,3.818034,3.799426,3.791866,3.820054,2.176756,3.825611,3.786686,3.828633,3.788187,3.743965,3.823067,Commercial
Farm 2,End,2020,7,0.75438,0.42150983,Alabama,0,0.008407,0.397311,0.459388,0.134893,0,0,0,1.201475796,22.262877,16.898767,19.580411,22.491781,11.616712,12.442877,74.356027,4.079589,147.383836,123.933288,100.873699,3.483836,175.90863,368.799589,3.4681617,4.5746196,3.9077002,3.6634097,3.0818546,3.2890941,9.135003,10.0240712,10.2368852,30.8887963,0.35535,1.1461016,76.9526605,40.251863,-0.48726689,-0.68207669,-0.68295561,-0.3949548,-0.1374002,-0.32422953,0.02038077,5.45440696,-1.80564021,-1.2667665,-0.17326531,0.52047542,0.05347618,-0.54776636,2.152844,2.417593,2.382228,2.07285,2.242203,2.109767,1.949546,38.331748,6.905041,4.241856,2.288677,2.965148,2.056836,2.018184,4.278073,4.250654,4.26955,4.276964,4.254304,4.254033,4.282986,2.955649,4.287966,4.253945,4.290453,4.237607,4.189523,4.284443,Commercial
Farm 2,Mid,2021,5,0.83442,0.542373,Alabama,0,0.009853,0.460856,0.506043,0.023248,0,0,0,1.144021738,20.377391,15.970217,18.17413,20.316522,11.252174,11.582174,77.875652,3.241304,145.304783,120.753043,101.070435,3.248696,182.527826,355.631522,3.0409337,3.8681994,3.3382201,3.1129302,2.9931365,2.7257406,8.7311818,8.2258507,7.5579223,31.9394556,0.3834229,1.0251756,76.5034401,32.3587949,-0.41182575,-0.54755887,-0.59063424,-0.25934231,-0.39641899,0.0753506,0.27078666,4.14965949,-0.39077752,-0.97141348,-0.06236852,1.21808754,-0.00475662,-0.38842443,2.538477,3.360313,2.992375,2.57234,2.873827,2.668913,2.103431,22.61083,1.989525,2.751034,2.320276,5.39208,1.977074,2.261752,3.817412,3.797251,3.811191,3.816881,3.791328,3.801007,3.822528,2.213049,3.827308,3.789913,3.828634,3.783215,3.73706,3.824532,Commercial
Farm 2,End,2021,5,0.80853,0.46591541,Alabama,0,0.009987,0.635617,0.354396,0,0,0,0,1.090041484,22.108507,17.135075,19.62194,22.223731,11.172985,12.501493,76.016418,3.247164,147.545522,121.879552,101.010149,3.118507,189.175224,368.433731,3.6861988,3.9978518,3.6753376,3.9195276,3.0222162,2.9934369,9.3399007,7.3690505,7.3160635,29.6242885,0.3707343,0.9606425,71.8964591,34.9538752,-0.40723915,-0.58678498,-0.61742831,-0.27792726,-0.30497406,-0.01870374,0.16222694,4.14782103,-0.74596025,-0.91517772,0.07001011,1.22108631,-0.08097268,-0.56513931,2.388103,3.275798,2.935847,2.23918,2.75926,2.425876,2.333392,24.332599,2.626159,2.87346,2.344602,5.667401,2.085935,2.367394,4.190519,4.17544,4.186366,4.188923,4.166166,4.175685,4.197263,2.790537,4.203465,4.172253,4.204686,4.161005,4.128572,4.200164,Commercial
